analysis,channel,band,n_ntg,n_3xtg,mean_ntg,sd_ntg,mean_3xtg,sd_3xtg,difference,stat,p_value,df,cliffs_delta,p_fdr,significant_fdr
All subjects,ACA_R,$\delta$,22,22,1.3255344006815628,0.8318261166314372,1.0083249477176663,0.3831428356018399,0.31720945296389647,1.624596692688049,0.11173066788819698,42.0,0.19008264462809918,0.2018859786114657,False
All subjects,ACA_R,$\theta$,22,22,1.3013139886395826,0.7923624816190865,1.0267331772843897,0.38596361385738676,0.27458081135519286,1.4612522033498243,0.15138795418677853,42.0,0.1859504132231405,0.2162685059811122,False
All subjects,ACA_R,$\alpha$,22,22,1.3071202149981695,0.7905661913983659,1.0587560696824212,0.39231185289995973,0.24836414531574835,1.3199528392726674,0.19400006811890763,42.0,0.22727272727272727,0.24250008514863453,False
All subjects,ACA_R,$\beta$,22,22,1.1499683942355647,0.4015763491445703,0.9720963096963022,0.2988169928256985,0.1778720845392625,1.6667384723167504,0.1030079436561803,42.0,0.3181818181818182,0.2018859786114657,False
All subjects,ACA_R,$\gamma$,22,22,1.053411676377186,0.1794146975644686,1.0097450390722391,0.10831356259042009,0.0436666373049468,0.9772882958581132,0.3340222399772985,42.0,0.09090909090909091,0.3340222399772985,False
All subjects,PCA_R,$\delta$,22,22,1.487242417867722,1.0985525842517174,0.9633928493885215,0.35960758005303123,0.5238495684792004,2.1256546002140695,0.03945545105821217,42.0,0.24793388429752067,0.19727725529106083,False
All subjects,PCA_R,$\theta$,22,22,1.3039265657062242,0.8235317470671666,0.9737906410387627,0.3352544429282282,0.33013592466746156,1.7415089042598373,0.08891525372877766,42.0,0.25206611570247933,0.2018859786114657,False
All subjects,PCA_R,$\alpha$,22,22,1.2516273982716,0.6960251009668247,1.0008704809538802,0.26119008332529536,0.25075691731771976,1.5820887610193144,0.12113158716687941,42.0,0.2190082644628099,0.2018859786114657,False
All subjects,PCA_R,$\beta$,22,22,1.1330982778096192,0.3391120528833527,0.9300865798431492,0.21581192767829796,0.20301169796647,2.3689159893347185,0.022514796567295853,42.0,0.3884297520661157,0.19727725529106083,False
All subjects,PCA_R,$\gamma$,22,22,1.050047455696636,0.1763358524242211,0.9980328988597478,0.09539203968796067,0.05201455683688816,1.216902459830332,0.23043536627625497,42.0,0.1652892561983471,0.2560392958625055,False
